date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR,year,equity,mkPrice
2006-07-17,1107,386400,349144,0.9,0.96,0.86,0.86,-0.04,30,2.21,1.18,2006,0,0.0
2006-07-18,1107,149745,133982,0.9,0.91,0.86,0.88,0.02,17,2.26,1.21,2006,0,0.0
2006-07-19,1107,213266,194178,0.9,0.93,0.9,0.92,0.04,22,2.36,1.26,2006,0,0.0
2006-07-20,1107,183300,170643,0.96,0.96,0.87,0.9,-0.02,25,2.31,1.23,2006,0,0.0
2006-07-21,1107,217992,206521,0.86,0.96,0.86,0.96,0.06,33,2.46,1.32,2006,0,0.0
2006-07-24,1107,157729,146414,0.91,0.96,0.9,0.91,-0.05,21,2.33,1.25,2006,0,0.0
2006-07-25,1107,67775,60924,0.9,0.94,0.9,0.9,-0.01,22,2.31,1.23,2006,0,0.0
2006-07-26,1107,45661,42447,0.93,0.96,0.9,0.9,0.0,24,2.31,1.23,2006,0,0.0
2006-07-27,1107,98916,90565,0.92,0.92,0.9,0.9,0.0,14,2.31,1.23,2006,0,0.0
2006-07-28,1107,193284,176651,0.95,0.95,0.9,0.9,0.0,41,2.31,1.23,2006,0,0.0
2006-07-31,1107,113333,103780,0.89,0.96,0.88,0.89,-0.01,21,2.28,1.22,2006,0,0.0
2006-08-01,1107,168764,150780,0.88,0.95,0.85,0.9,0.01,37,2.31,1.23,2006,0,0.0
2006-08-02,1107,173686,158953,0.94,0.94,0.85,0.9,0.0,28,2.31,1.23,2006,0,0.0
2006-08-03,1107,133519,121186,0.92,0.94,0.86,0.9,0.0,26,2.31,1.23,2006,0,0.0
2006-08-04,1107,75423,69702,0.88,0.94,0.88,0.88,-0.02,16,2.26,1.21,2006,0,0.0
2006-08-07,1107,90011,82848,0.88,0.93,0.88,0.93,0.05,17,2.38,1.27,2006,0,0.0
2006-08-08,1107,63833,56561,0.9,0.9,0.88,0.88,-0.05,20,2.26,1.21,2006,0,0.0
2006-08-09,1107,464628,419145,0.88,0.93,0.88,0.91,0.03,45,2.33,1.25,2006,0,0.0
2006-08-10,1107,153476,138608,0.9,0.92,0.89,0.89,-0.02,36,2.28,1.22,2006,0,0.0
2006-08-11,1107,274495,247983,0.88,0.94,0.87,0.88,-0.01,36,2.26,1.21,2006,0,0.0
2006-08-14,1107,158994,139808,0.88,0.93,0.86,0.86,-0.02,40,2.21,1.18,2006,0,0.0
2006-08-15,1107,301449,271777,0.9,0.92,0.86,0.87,0.01,50,2.23,1.19,2006,0,0.0
2006-08-16,1107,128682,112572,0.85,0.91,0.85,0.89,0.02,34,2.28,1.22,2006,0,0.0
2006-08-17,1107,140279,123848,0.9,0.9,0.87,0.9,0.01,33,2.31,1.23,2006,0,0.0
2006-08-18,1107,38993,33796,0.87,0.87,0.87,0.87,-0.03,25,2.23,1.19,2006,0,0.0
2006-08-21,1107,107311,88926,0.86,0.86,0.81,0.86,-0.01,30,2.21,1.18,2006,0,0.0
2006-08-22,1107,93000,75490,0.8,0.85,0.8,0.8,-0.06,13,2.05,1.1,2006,0,0.0
2006-08-23,1107,96023,77863,0.8,0.85,0.8,0.85,0.05,16,2.18,1.16,2006,0,0.0
2006-08-24,1107,107440,87451,0.81,0.84,0.8,0.8,-0.05,21,2.05,1.1,2006,0,0.0
